AÑO / MES / DÍA,TEMPERATURA (°C) MAX, TEMPERATURA (°C) MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2023-10-01,21.4,11.4,84.5,0.0
2023-10-02,23.4,11.3,88.4,6.9
2023-10-03,22.7,11.3,87.7,3.1
2023-10-04,22.3,11.7,90.3,5.6
2023-10-05,22.1,11.1,88.4,1.0
2023-10-06,21.6,11.4,89.1,2.1
2023-10-07,23,11.8,89.0,1.0
2023-10-08,21.9,11.6,88.4,3.3
2023-10-09,22.1,12.7,86.2,11.4
2023-10-10,23.3,12.5,86.1,0.1
2023-10-11,22.9,11.9,88.1,4.3
2023-10-12,22.7,10.8,87.0,0.0
2023-10-13,22.1,11.5,87.6,0.6
2023-10-14,22.7,S/D,89.9,0.7
2023-10-15,23.6,11.2,84.5,0.7
2023-10-16,22.1,11,84.7,1.2
2023-10-17,22.7,11.6,87.8,2.0
2023-10-18,22.1,12.2,81.9,0.3
2023-10-19,25.1,11.7,78.6,0.0
2023-10-20,22.3,11.6,87.8,3.5
2023-10-21,23.6,12.1,85.6,0.0
2023-10-22,23.7,10.8,83.4,0.0
2023-10-23,22,10.4,84.4,0.0
2023-10-24,25,12.2,86.1,7.4
2023-10-25,17.9,12.2,91.8,3.1
2023-10-26,14.4,11.5,96.8,8.4
2023-10-27,19.8,11.1,87.0,3.3
2023-10-28,14.2,10,95.1,0.3
2023-10-29,21.6,10.4,81.9,0.0
2023-10-30,22.9,10.3,84.5,0.2
2023-10-31,18.1,11.7,84.5,2.0
