Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:QUIRUVILCA
,Departamento:LA,LIBERTAD,Provincia:SANTIAGO,DECHUCO,Distrito:QUIRUVILCA
,Latitud:8°0'15.07'',Longitud:78°18'28.43'',Altitud:4047,msnm.
,Tipo:EMA,-Meteorológica,Código:4727319A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/02/01,00:00,3.4,0.0,36,192,0.4
2022/02/01,01:00,2.8,0.0,37,198,0.1
2022/02/01,02:00,2.4,0.0,30,195,0.4
2022/02/01,03:00,2.2,0.0,34,173,0.3
2022/02/01,04:00,2.0,0.0,30,213,0.1
2022/02/01,05:00,1.8,0.0,23,270,0.0
2022/02/01,06:00,1.7,0.0,19,105,0.4
2022/02/01,07:00,2.3,0.0,23,120,0.0
2022/02/01,08:00,5.4,0.0,19,111,0.0
2022/02/01,09:00,9.4,0.0,26,275,0.0
2022/02/01,10:00,10.5,0.0,25,208,0.1
2022/02/01,11:00,11.6,0.0,25,188,1.2
2022/02/01,12:00,12.5,0.0,23,246,1.2
2022/02/01,13:00,13.3,0.0,31,266,1.9
2022/02/01,14:00,13.2,0.0,40,273,2.4
2022/02/01,15:00,13.2,0.0,43,268,2.9
2022/02/01,16:00,12.6,0.0,52,270,3.0
2022/02/01,17:00,11.3,0.0,64,264,3.0
2022/02/01,18:00,9.4,0.0,62,265,2.5
2022/02/01,19:00,6.5,0.0,70,270,1.6
2022/02/01,20:00,4.5,0.0,73,242,0.2
2022/02/01,21:00,3.9,0.0,70,90,0.9
2022/02/01,22:00,3.9,0.0,76,89,1.0
2022/02/01,23:00,3.7,0.0,76,270,0.0
2022/02/02,00:00,3.4,0.0,78,270,0.0
2022/02/02,01:00,3.6,0.0,74,43,0.6
2022/02/02,02:00,3.8,0.0,77,52,1.3
2022/02/02,03:00,2.8,0.0,85,270,0.0
2022/02/02,04:00,2.8,0.0,85,270,0.0
2022/02/02,05:00,2.9,0.0,85,51,1.5
2022/02/02,06:00,3.0,0.0,81,33,3.3
2022/02/02,07:00,3.6,0.0,76,34,2.5
2022/02/02,08:00,4.8,0.0,70,17,2.2
2022/02/02,09:00,7.8,0.0,60,42,2.7
2022/02/02,10:00,9.4,0.0,56,37,2.9
2022/02/02,11:00,10.4,0.0,51,19,3.3
2022/02/02,12:00,11.8,0.0,52,11,3.3
2022/02/02,13:00,12.4,0.0,50,2,3.5
2022/02/02,14:00,13.0,0.0,52,357,4.1
2022/02/02,15:00,13.0,0.0,54,3,4.2
2022/02/02,16:00,10.9,0.0,64,354,3.3
2022/02/02,17:00,8.9,0.0,82,275,1.7
2022/02/02,18:00,7.5,0.0,81,307,2.3
2022/02/02,19:00,6.2,0.0,81,297,0.4
2022/02/02,20:00,5.4,0.0,81,120,1.5
2022/02/02,21:00,4.5,0.0,78,105,2.1
2022/02/02,22:00,4.1,0.0,69,115,1.9
2022/02/02,23:00,4.6,0.0,75,102,2.1
2022/02/03,00:00,4.2,0.0,67,99,2.0
2022/02/03,01:00,4.2,0.0,68,105,1.7
2022/02/03,02:00,4.5,0.0,66,92,1.5
2022/02/03,03:00,4.1,0.0,62,95,2.0
2022/02/03,04:00,3.9,0.0,65,92,2.3
2022/02/03,05:00,4.2,0.0,77,76,1.3
2022/02/03,06:00,4.2,0.0,65,38,1.2
2022/02/03,07:00,3.3,0.0,58,90,1.5
2022/02/03,08:00,4.8,0.0,56,71,0.6
2022/02/03,09:00,8.4,0.0,54,119,0.4
2022/02/03,10:00,9.8,0.0,52,57,1.8
2022/02/03,11:00,10.6,0.0,50,27,3.0
2022/02/03,12:00,11.4,0.0,51,22,2.9
2022/02/03,13:00,12.3,0.0,51,10,3.2
2022/02/03,14:00,13.0,0.0,52,0,3.8
2022/02/03,15:00,13.0,0.0,49,348,3.7
2022/02/03,16:00,13.0,0.0,57,339,3.5
2022/02/03,17:00,11.7,0.0,56,295,3.7
2022/02/03,18:00,9.3,0.0,63,273,2.5
2022/02/03,19:00,7.3,0.0,65,267,0.8
2022/02/03,20:00,5.9,0.0,72,88,0.9
2022/02/03,21:00,5.1,0.0,71,105,2.1
2022/02/03,22:00,4.6,0.0,74,112,1.9
2022/02/03,23:00,4.9,0.0,69,105,1.1
2022/02/04,00:00,5.5,0.0,66,128,0.0
2022/02/04,01:00,5.5,0.0,77,117,0.0
