AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/01/01,00:00,5.2,0.0,54,30,0.3
2021/01/01,01:00,5.2,0.0,69,44,0.8
2021/01/01,02:00,4.7,0.0,61,122,0.2
2021/01/01,03:00,4.2,0.0,80,95,0.3
2021/01/01,04:00,4.5,0.0,83,31,2.5
2021/01/01,05:00,4.3,0.0,83,6,0.6
2021/01/01,06:00,4.2,0.0,82,40,1.6
2021/01/01,07:00,5.1,0.0,78,55,1.1
2021/01/01,08:00,6.9,0.0,69,29,1.0
2021/01/01,09:00,9.9,0.0,56,20,1.4
2021/01/01,10:00,10.1,0.0,67,22,1.9
2021/01/01,11:00,9.2,0.0,62,63,1.6
2021/01/01,12:00,10.6,0.0,63,116,1.5
2021/01/01,13:00,10.5,0.0,66,87,1.0
2021/01/01,14:00,10.4,0.0,67,77,1.3
2021/01/01,15:00,10.8,0.0,68,132,1.7
2021/01/01,16:00,8.7,0.0,79,262,0.9
2021/01/01,17:00,7.3,0.1,85,152,0.6
2021/01/01,18:00,6.4,0.5,88,54,1.2
2021/01/01,19:00,5.7,0.4,93,124,0.4
2021/01/01,20:00,4.8,0.0,91,109,1.5
2021/01/01,21:00,4.7,0.0,91,99,1.3
2021/01/01,22:00,5.4,0.0,90,58,1.7
2021/01/01,23:00,5.9,0.0,87,33,1.4
2021/01/02,00:00,6.0,0.0,86,39,1.9
2021/01/02,01:00,5.7,0.0,89,29,1.2
2021/01/02,02:00,5.5,0.0,87,74,1.2
2021/01/02,03:00,5.4,0.0,87,64,1.6
2021/01/02,04:00,5.4,0.0,85,59,1.5
2021/01/02,05:00,5.3,0.0,82,63,1.5
2021/01/02,06:00,5.1,0.0,82,86,0.7
2021/01/02,07:00,4.9,0.0,86,86,0.6
2021/01/02,08:00,7.2,0.0,70,127,1.0
2021/01/02,09:00,8.5,0.0,61,133,1.8
2021/01/02,10:00,11.2,0.0,59,120,1.8
2021/01/02,11:00,12.1,0.0,59,131,2.3
2021/01/02,12:00,11.6,0.1,65,125,1.2
2021/01/02,13:00,8.5,0.0,79,295,2.1
2021/01/02,14:00,7.2,0.0,83,312,1.9
2021/01/02,15:00,6.5,0.0,87,312,2.0
2021/01/02,16:00,6.6,0.1,82,267,0.8
2021/01/02,17:00,7.0,0.4,91,114,0.8
2021/01/02,18:00,6.8,0.1,83,171,0.4
2021/01/02,19:00,6.3,0.0,88,155,1.1
2021/01/02,20:00,5.2,0.0,93,118,1.8
2021/01/02,21:00,5.3,0.0,89,125,1.6
2021/01/02,22:00,5.4,0.0,77,124,2.5
2021/01/02,23:00,5.4,0.0,77,127,2.0
2021/01/03,00:00,5.4,0.0,77,139,0.9
2021/01/03,01:00,4.9,0.0,88,127,1.6
2021/01/03,02:00,3.5,0.0,83,108,2.8
2021/01/03,03:00,3.7,0.0,77,115,3.4
2021/01/03,04:00,4.1,0.0,80,122,2.4
2021/01/03,05:00,4.2,0.0,83,107,2.0
2021/01/03,06:00,3.9,0.0,88,71,1.9
2021/01/03,07:00,4.4,0.0,84,85,1.9
2021/01/03,08:00,5.9,0.0,76,83,1.3
2021/01/03,09:00,8.1,0.0,66,120,1.5
2021/01/03,10:00,11.4,0.0,56,131,2.0
2021/01/03,11:00,9.3,0.0,81,295,2.1
2021/01/03,12:00,7.1,1.5,91,234,0.8
2021/01/03,13:00,5.9,1.0,92,273,1.4
2021/01/03,14:00,5.8,0.2,86,290,1.2
2021/01/03,15:00,8.2,0.2,72,274,0.7
2021/01/03,16:00,10.1,0.0,68,268,1.5
2021/01/03,17:00,9.1,0.0,78,251,1.3
2021/01/03,18:00,7.7,0.3,86,249,1.4
2021/01/03,19:00,6.6,0.0,91,237,0.8
2021/01/03,20:00,6.1,0.0,93,113,1.6
2021/01/03,21:00,S/D,0.0,95,S/D,S/D
2021/01/03,22:00,5.1,0.0,95,106,1.5
2021/01/03,23:00,4.9,0.0,96,94,0.9
2021/01/04,00:00,4.8,0.0,95,94,0.4
2021/01/04,01:00,4.8,0.0,95,120,0.4
2021/01/04,02:00,4.8,0.0,95,129,0.4
2021/01/04,03:00,5.0,0.0,95,324,0.7
2021/01/04,04:00,4.8,0.0,95,299,0.0
2021/01/04,05:00,4.8,0.0,96,197,0.1
2021/01/04,06:00,4.8,0.0,96,249,0.0
2021/01/04,07:00,4.9,0.0,96,272,0.2
2021/01/04,08:00,5.1,0.0,95,138,0.1
2021/01/04,09:00,6.1,0.0,91,158,0.1
2021/01/04,10:00,7.1,0.0,84,145,0.3
2021/01/04,11:00,9.0,0.0,71,233,0.7
2021/01/04,12:00,8.9,0.0,76,275,2.0
2021/01/04,13:00,8.0,0.2,84,101,0.3
2021/01/04,14:00,8.0,0.1,76,279,2.6
2021/01/04,15:00,7.9,0.0,70,254,1.9
2021/01/04,16:00,6.9,0.0,62,196,1.1
2021/01/04,17:00,6.6,0.0,59,203,1.0
2021/01/04,18:00,6.5,0.0,65,227,1.0
2021/01/04,19:00,5.6,0.0,77,164,0.9
2021/01/04,20:00,4.7,0.0,85,126,1.5
2021/01/04,21:00,4.4,0.0,88,133,1.7
2021/01/04,22:00,4.7,0.0,85,134,1.7
2021/01/04,23:00,4.8,0.0,81,129,1.7
2021/01/05,00:00,4.3,0.0,81,151,0.6
2021/01/05,01:00,3.8,0.0,83,142,0.2
2021/01/05,02:00,3.8,0.0,81,163,0.5
