Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:TICAPAMPA
,Departamento:LA,LIBERTAD,Provincia:SANCHEZ,CARRION,Distrito:SARIN
,Latitud:7°54'59.07'',Longitud:77°54'5.33'',Altitud:2819,msnm.
,Tipo:EMA,-Meteorológica,Código:107130
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/09/01,00:00,11.7,0.0,64,152,0.0
2023/09/01,01:00,11.2,0.0,68,182,0.0
2023/09/01,02:00,12.0,0.0,65,182,0.0
2023/09/01,03:00,12.7,0.0,63,147,0.0
2023/09/01,04:00,12.8,0.0,64,214,0.0
2023/09/01,05:00,12.7,0.0,66,173,0.0
2023/09/01,06:00,11.8,0.0,69,135,0.0
2023/09/01,07:00,11.6,0.0,70,132,0.0
2023/09/01,08:00,12.3,0.0,68,198,0.0
2023/09/01,09:00,13.4,0.0,66,169,0.0
2023/09/01,10:00,15.4,0.0,57,359,0.0
2023/09/01,11:00,17.1,0.0,52,341,1.1
2023/09/01,12:00,18.6,0.0,47,313,2.3
2023/09/01,13:00,20.0,0.0,40,316,1.9
2023/09/01,14:00,21.6,0.0,33,35,1.4
2023/09/01,15:00,21.7,0.0,31,302,1.7
2023/09/01,16:00,21.3,0.0,34,303,2.9
2023/09/01,17:00,21.5,0.0,34,309,2.8
2023/09/01,18:00,22.0,0.0,33,295,2.5
2023/09/01,19:00,19.6,0.0,40,284,1.1
2023/09/01,20:00,17.6,0.0,46,324,0.0
2023/09/01,21:00,14.8,0.0,54,142,0.0
2023/09/01,22:00,13.1,0.0,60,176,0.0
2023/09/01,23:00,12.6,0.0,62,171,0.0
2023/09/02,00:00,12.9,0.0,62,190,0.0
2023/09/02,01:00,12.5,0.0,63,194,0.0
2023/09/02,02:00,11.2,0.0,70,157,0.0
2023/09/02,03:00,10.1,0.0,76,167,0.0
2023/09/02,04:00,9.6,0.0,78,270,0.0
2023/09/02,05:00,9.2,0.0,77,174,0.0
2023/09/02,06:00,9.2,0.0,79,157,0.0
2023/09/02,07:00,8.8,0.0,80,327,0.0
2023/09/02,08:00,9.6,0.0,77,156,0.0
2023/09/02,09:00,11.5,0.0,71,39,0.0
2023/09/02,10:00,15.3,0.0,57,324,2.3
2023/09/02,11:00,17.6,0.0,51,306,1.5
2023/09/02,12:00,19.0,0.0,46,94,1.1
2023/09/02,13:00,20.4,0.0,39,301,2.4
2023/09/02,14:00,19.9,0.0,39,112,0.7
2023/09/02,15:00,21.1,0.0,35,313,2.1
2023/09/02,16:00,21.8,0.0,32,313,1.8
2023/09/02,17:00,23.4,0.0,27,326,1.9
2023/09/02,18:00,20.0,0.0,37,103,3.9
2023/09/02,19:00,15.6,0.4,65,149,1.3
2023/09/02,20:00,16.5,0.0,49,114,4.0
2023/09/02,21:00,15.4,0.0,52,183,0.3
2023/09/02,22:00,12.5,0.0,65,178,0.5
2023/09/02,23:00,13.3,0.0,60,208,0.3
2023/09/03,00:00,13.2,0.0,60,141,0.1
2023/09/03,01:00,12.8,0.0,63,200,0.0
2023/09/03,02:00,12.6,0.0,64,173,0.0
2023/09/03,03:00,11.5,0.0,68,165,0.0
2023/09/03,04:00,11.9,0.0,65,159,0.0
2023/09/03,05:00,11.7,0.0,65,163,0.0
2023/09/03,06:00,11.7,0.0,68,146,0.0
2023/09/03,07:00,11.4,0.0,70,150,0.0
2023/09/03,08:00,10.8,0.0,71,355,0.0
2023/09/03,09:00,12.6,0.0,66,11,0.0
2023/09/03,10:00,16.5,0.0,51,21,1.3
2023/09/03,11:00,18.7,0.0,47,81,0.9
2023/09/03,12:00,21.0,0.0,40,331,2.3
2023/09/03,13:00,22.7,0.0,34,318,2.8
2023/09/03,14:00,23.5,0.0,30,275,0.7
2023/09/03,15:00,23.0,0.0,32,147,2.0
2023/09/03,16:00,23.4,0.0,29,334,2.0
2023/09/03,17:00,22.4,0.0,30,309,1.0
2023/09/03,18:00,21.3,0.0,34,118,0.8
2023/09/03,19:00,18.5,0.0,41,186,0.0
2023/09/03,20:00,17.6,0.0,44,159,1.2
2023/09/03,21:00,16.1,0.0,47,171,0.0
2023/09/03,22:00,15.7,0.0,49,243,0.0
2023/09/03,23:00,15.1,0.0,53,177,0.0
2023/09/04,00:00,14.5,0.0,56,189,0.0
2023/09/04,01:00,14.6,0.0,58,252,0.0
2023/09/04,02:00,14.5,0.0,60,316,0.4
2023/09/04,03:00,14.6,0.0,67,290,0.6
2023/09/04,04:00,13.8,0.0,74,214,0.0
2023/09/04,05:00,13.1,0.0,80,224,0.0
2023/09/04,06:00,12.2,0.0,89,200,0.0
2023/09/04,07:00,12.1,0.0,88,139,0.0
2023/09/04,08:00,12.1,0.2,88,16,0.4
2023/09/04,09:00,12.3,0.1,90,105,0.2
2023/09/04,10:00,15.5,0.0,71,319,0.9
2023/09/04,11:00,16.0,0.0,64,46,0.2
2023/09/04,12:00,17.7,0.0,55,308,0.9
2023/09/04,13:00,18.4,0.0,49,297,2.2
2023/09/04,14:00,18.9,0.0,46,294,2.2
2023/09/04,15:00,20.1,0.0,42,314,3.0
2023/09/04,16:00,19.7,0.0,42,296,2.2
2023/09/04,17:00,17.6,0.0,48,285,1.4
2023/09/04,18:00,17.7,0.0,49,20,0.0
2023/09/04,19:00,17.3,0.0,51,230,0.0
2023/09/04,20:00,16.2,0.0,55,207,0.0
2023/09/04,21:00,14.3,0.0,63,177,0.0
2023/09/04,22:00,13.5,0.0,66,157,0.0
2023/09/04,23:00,13.8,0.0,67,195,0.0
