Año;Mes;Día;Temp. Máx (°C);Temp. Mín (°C);Humedad (%);Precipitación (mm)
2017;01;01;22;7.2;76.4;18.6
2017;01;02;22.7;7;74.8;6.2
2017;01;03;23.2;6.8;73.3;0.0
2017;01;04;22.5;5.5;76.5;0.0
2017;01;05;20.6;7;84.7;0.0
2017;01;06;20.4;6.7;77.9;9.6
2017;01;07;21.8;7.5;73.7;5.6
2017;01;08;21.5;7.2;76.8;4.4
2017;01;09;20.3;6.5;76.0;0.0
2017;01;10;22.4;6.8;72.1;1.6
2017;01;11;23.2;5.8;73.9;1.2
2017;01;12;20.5;6.3;79.5;1.5
2017;01;13;21.2;7.1;79.6;20.2
2017;01;14;19.9;6.5;84.5;3.2
2017;01;15;20;9;82.9;12.0
2017;01;16;21.5;8.5;74.4;0.0
2017;01;17;21;5.5;77.2;0.0
2017;01;18;22;6.5;74.0;0.0
2017;01;19;23.4;6;72.6;0.0
2017;01;20;20.4;6.3;76.0;0.0
2017;01;21;21;7;77.6;0.0
2017;01;22;20.3;7.3;78.4;6.4
2017;01;23;20.8;8.2;78.6;9.1
2017;01;24;20.2;7.5;79.1;12.7
2017;01;25;19.5;8.9;80.9;0.0
2017;01;26;21.6;8.5;79.1;3.0
2017;01;27;20.8;7.8;79.4;12.5
2017;01;28;23.6;9.3;73.0;0.0
2017;01;29;22.5;8.2;76.9;3.4
2017;01;30;22.6;7.7;70.2;12.3
2017;01;31;19.7;6.8;85.1;9.8
2017;02;01;19.2;8.3;85.8;8.4
2017;02;02;19.6;9;83.9;1.5
2017;02;03;20;8.2;83.2;17.8
2017;02;04;21.2;9;79.3;11.6
2017;02;05;21;9.5;80.4;7.3
2017;02;06;21.5;8.2;83.6;25.6
2017;02;07;21.3;8.9;82.4;14.7
2017;02;08;20.8;8;79.0;7.8
2017;02;09;19.9;9.6;83.1;0.0
2017;02;10;19.7;10.5;80.8;0.0
2017;02;11;19.8;8.6;83.4;0.0
2017;02;12;19.9;7.4;79.9;0.0
2017;02;13;18.6;5.7;83.6;0.0
2017;02;14;18;7.9;90.2;16.3
2017;02;15;19;6.5;84.2;10.4
2017;02;16;20;9.5;85.8;1.0
2017;02;17;16.4;7.2;83.9;5.5
2017;02;18;18;6;81.6;1.8
2017;02;19;19.5;8;76.8;0.0
2017;02;20;21;7;83.8;0.0
2017;02;21;19.2;8.3;84.3;2.8
2017;02;22;19.9;6.7;84.6;12.1
2017;02;23;21;7.7;78.8;9.8
2017;02;24;21.8;6.8;74.9;0.0
2017;02;25;20.9;8.4;81.6;2.6
2017;02;26;20.5;5.5;79.5;5.0
2017;02;27;19.2;8.3;80.6;10.3
2017;02;28;20;9.4;78.7;7.4
2017;03;01;18;9.9;85.2;3.0
2017;03;02;19.6;5.8;86.2;2.2
2017;03;03;19;8;89.4;13.9
2017;03;04;19.5;10;92.0;24.1
2017;03;05;19.9;10.2;86.7;29.9
2017;03;06;16.3;10.5;94.5;19.5
2017;03;07;18.7;8.3;88.8;13.8
2017;03;08;21.5;9.6;87.5;16.0
2017;03;09;18.3;10;88.1;19.8
2017;03;10;18.6;9.5;88.5;7.1
2017;03;11;20;8.7;86.0;5.2
2017;03;12;20.4;7.7;81.2;12.8
2017;03;13;20.2;8.2;83.9;29.6
2017;03;14;17.3;8.6;88.4;31.8
2017;03;15;17.5;8;90.9;19.4
2017;03;16;17;9.5;88.7;18.2
2017;03;17;18;7.9;81.1;1.0
2017;03;18;18.8;9.8;84.1;13.3
2017;03;19;17.6;10;90.3;27.5
2017;03;20;19.5;8.8;83.9;10.5
2017;03;21;21.3;8.9;82.3;4.7
2017;03;22;21;8;86.2;27.1
2017;03;23;19.7;8.4;83.9;18.8
2017;03;24;18.4;7.4;87.8;0.0
2017;03;25;18.8;7.9;87.4;12.3
2017;03;26;19;9.4;85.1;12.4
2017;03;27;19.2;8.5;80.9;20.8
2017;03;28;18.7;10;85.0;10.4
2017;03;29;17.7;9.3;86.7;18.5
2017;03;30;18.5;9;85.9;23.3
2017;03;31;18.8;9.7;88.7;11.8
2017;04;01;20;8.8;85.4;18.8
2017;04;02;19.5;8.5;92.5;9.2
2017;04;03;20.2;9.4;87.9;8.6
2017;04;04;20;8.6;84.4;7.4
2017;04;05;20.4;8.7;84.0;0.0
2017;04;06;19.4;8.2;86.4;9.5
2017;04;07;20.3;7.5;84.4;4.4
2017;04;08;20.8;8.6;82.8;5.5
2017;04;09;21.5;7.2;79.4;9.2
2017;04;10;19.4;7.9;81.8;6.8
2017;04;11;21.5;8;85.9;29.2
2017;04;12;19.4;8.5;84.4;6.2
2017;04;13;18.2;9;88.9;3.2
2017;04;14;22.6;8.4;80.1;0.0
2017;04;15;23;8.2;76.7;0.0
2017;04;16;22.6;8;73.6;0.0
2017;04;17;22.2;7.8;81.8;0.0
2017;04;18;22.6;8.3;77.8;1.2
2017;04;19;20.7;8.8;88.2;0.0
2017;04;20;20.2;8.3;88.3;2.6
2017;04;21;18.4;7.7;86.2;0.0
2017;04;22;21.5;7.3;81.7;15.0
2017;04;23;20.3;7.8;82.7;12.6
2017;04;24;22.4;7;80.9;0.0
2017;04;25;19.3;7.8;85.8;0.0
2017;04;26;21.8;8.4;84.2;2.8
2017;04;27;22.6;8.9;78.4;0.0
2017;04;28;21.7;9.2;79.5;1.2
2017;04;29;20.2;9;82.7;3.5
2017;04;30;22.5;8;78.0;0.0
2017;05;01;23.4;7.8;75.1;0.0
2017;05;02;21.6;8;86.4;15.6
2017;05;03;22;7.5;77.5;0.0
2017;05;04;22.8;7.7;78.4;7.6
2017;05;05;18;8.2;84.5;3.0
2017;05;06;20.3;8.7;87.8;12.2
2017;05;07;18.6;8.3;87.6;0.0
2017;05;08;17.4;8.1;82.9;11.4
2017;05;09;19.3;8.5;81.0;10.3
2017;05;10;17.8;8;85.5;0.0
2017;05;11;18.2;7.9;85.1;1.2
2017;05;12;21.6;8.3;76.7;0.0
2017;05;13;20.5;9;86.3;0.0
2017;05;14;19.7;8.1;84.7;0.0
2017;05;15;18.5;7.8;85.6;1.4
2017;05;16;21.3;8;79.3;4.8
2017;05;17;21.2;7.3;77.8;2.5
2017;05;18;22.2;7;76.7;0.0
2017;05;19;21.4;7.5;76.3;0.0
2017;05;20;20.6;7.8;80.3;3.4
2017;05;21;18.6;7.9;86.9;2.6
2017;05;22;21.8;8;76.6;8.0
2017;05;23;20.7;8.3;82.0;0.0
2017;05;24;22.3;7.7;76.2;0.0
2017;05;25;22.7;7.6;78.7;0.0
2017;05;26;21.7;7.2;80.5;5.0
2017;05;27;20.6;7.9;81.0;1.0
2017;05;28;21.2;8.3;81.2;2.6
2017;05;29;22.8;7.5;78.1;0.0
2017;05;30;20.4;7.2;79.4;2.4
2017;05;31;21.9;7;78.7;1.5
2017;06;01;21.4;6.7;78.7;1.2
2017;06;02;22.8;6.5;78.4;0.0
2017;06;03;23;6.3;61.7;2.0
2017;06;04;21.8;6.4;81.2;0.0
2017;06;05;23.6;7;77.8;0.0
2017;06;06;22.4;6.5;78.3;0.0
2017;06;07;0.0;6;0.0;0.0
2017;07;01;22.3;4.7;74.3;0.0
2017;07;01;22.3;4.7;74.3;0.1
2017;07;02;20.2;5;80.7;0.0
2017;07;03;22.1;6;78.8;0.0
2017;07;04;23.6;4.9;76.6;0.0
2017;07;05;23;6;67.7;0.0
2017;07;06;23.8;5;76.3;0.0
2017;07;07;20.7;5.7;81.7;0.0
2017;07;08;21.5;6.2;84.0;0.0
2017;07;09;21.2;5.8;81.7;0.0
2017;07;10;23.6;6.4;76.6;0.0
2017;07;11;22.9;6.7;84.1;0.0
2017;07;12;24.2;6.3;87.0;0.0
2017;07;13;24.5;5.5;81.9;0.0
2017;07;14;24.8;5.3;80.0;0.0
2017;07;15;24.6;6.5;80.8;0.0
2017;07;16;23.4;4.9;85.8;0.0
2017;07;17;22.5;3.5;78.2;0.0
2017;07;18;21.8;5;76.9;0.0
2017;07;19;22.4;4.8;76.4;0.0
2017;07;20;24.4;6;76.9;0.0
2017;07;21;24.6;5.9;74.4;0.0
2017;07;22;23.5;6.2;77.6;0.0
2017;07;23;23.2;6;80.9;0.0
2017;07;24;24.6;2.8;74.2;0.0
2017;07;25;22.7;3.6;78.3;0.0
2017;07;26;23.2;3;78.6;0.0
2017;07;27;23.5;3.4;74.4;0.0
2017;07;28;24.2;4.2;75.1;0.0
2017;07;29;24.5;3.4;75.3;0.0
2017;07;30;23.2;5.6;75.2;0.0
2017;07;31;21.8;5;68.9;0.0
2017;08;01;23.4;4.8;69.4;0.0
2017;08;02;22;4.2;70.8;0.0
2017;08;03;23.6;4.5;70.7;0.0
2017;08;04;24.3;5.5;76.5;0.0
2017;08;05;22.8;5.8;71.0;0.0
2017;08;06;21.7;6.6;73.7;0.0
2017;08;07;24.2;7;70.8;0.0
2017;08;08;24.5;5.1;67.5;0.0
2017;08;09;23.3;5.6;71.3;0.0
2017;08;10;21.7;6.2;72.4;0.0
2017;08;11;22.2;5.2;76.0;0.0
2017;08;12;23.8;5.8;74.9;0.0
2017;08;13;21.8;6.5;75.3;0.0
2017;08;14;21.4;7;73.6;0.0
2017;08;15;22.2;6.8;73.7;0.0
2017;08;16;24;6.5;71.2;0.0
2017;08;17;22.6;6.9;75.6;0.0
2017;08;18;21.8;6.3;75.7;0.0
2017;08;19;23.8;4.7;71.6;0.0
2017;08;20;24.3;5.2;70.6;0.0
2017;08;21;21;5.5;74.9;0.0
2017;08;22;20.4;5.3;62.7;3.6
2017;08;23;23;5;69.3;7.2
2017;08;24;23.5;5.3;75.5;0.0
2017;08;25;24.2;5.2;71.4;0.0
